date,poi_id,day_of_week,month,is_weekend,is_holiday,holiday_name,days_to_nearest_holiday,holiday_factor,poi_score,resident_ratio,visitor_ratio,commuter_ratio,temperature,weather_condition,humidity,wind_speed,historical_demand_lag_1,historical_demand_lag_7,historical_demand_rolling_mean_7,demand
2023-01-01,POI_A,6,1,True,True,元旦,0,1.5,0.8722407436574339,0.18941431730938077,0.579671365240618,0.23091431745000127,34.51664091733701,晴天,73.10646811662777,14.302868551574166,,,,354.0
2023-01-02,POI_A,0,1,False,False,,1,1.2,0.9217506393975915,0.1947962454886756,0.6141394739825415,0.191064280528783,35.358792355894344,多云,71.30166597767432,9.456764882666189,354.0,,354.0,237.0
2023-01-03,POI_A,1,1,False,False,,2,1.0,0.9779943036516738,0.21120276086388928,0.5645434258762467,0.224253813259864,29.122993307255054,晴天,33.336037921749984,6.843441180949381,237.0,,295.5,268.0
2023-01-04,POI_A,2,1,False,False,,3,1.0,0.8758652735786896,0.1817580026910394,0.6112855033848482,0.20695649392411244,40.938940543695026,多云,80.1483507015172,0.3436536381879973,268.0,,286.3333333333333,211.0
2023-01-05,POI_A,3,1,False,False,,4,1.0,0.8540044875620381,0.16114492953987183,0.565967128270805,0.2728879421893232,31.948356196542562,晴天,32.284745216658415,19.691531519299282,211.0,,267.5,247.0
2023-01-06,POI_A,4,1,False,False,,5,1.0,0.9285184738090465,0.1179860558347094,0.682011861478478,0.20000208268681252,39.867115844182905,小雨,87.52387696711327,6.4688465219457285,247.0,,263.4,227.0
2023-01-07,POI_A,5,1,True,False,,6,1.0,0.8778718774310151,0.2020720631209239,0.6804997906732114,0.11742814620586466,33.58729695385773,晴天,36.08959143513014,13.401285120276853,227.0,,257.3333333333333,309.0
2023-01-08,POI_A,6,1,True,False,,7,1.0,0.8568454269067975,0.20643226253866356,0.6175645732410133,0.17600316422032308,35.97989169268393,晴天,72.83053187687142,11.67063351114772,309.0,354.0,264.7142857142857,254.0
2023-01-09,POI_A,0,1,False,False,,8,1.0,0.9422311394743683,0.21316811374226108,0.5452349627229012,0.24159692353483794,32.14698571387367,晴天,69.37312334425877,10.821991305615574,254.0,237.0,250.42857142857142,221.0
2023-01-10,POI_A,1,1,False,False,,9,1.0,0.9141768659471777,0.1467754189240804,0.5857641878054185,0.2674603932705012,33.43528765603144,多云,75.5834739386494,4.020102840100808,221.0,268.0,248.14285714285714,230.0
2023-01-11,POI_A,2,1,False,False,,10,1.0,0.8202861128149562,0.1770348981853971,0.6339114930564871,0.18905360875811575,23.553433533033,晴天,32.32095162334686,11.641022144384781,230.0,211.0,242.71428571428572,285.0
2023-01-12,POI_A,3,1,False,False,,10,1.0,0.967861642769458,0.17634624711085461,0.6380324701670256,0.18562128272211986,32.94514325166714,晴天,54.72210556894358,8.020864151284261,285.0,247.0,253.28571428571428,211.0
